id,class,reactants>reagents>production
RXN-9825,PWY0A-6303,[CH3:1][S+:16]([CH2:17][C@@H:18]1[C@@H:19]([OH:20])[C@@H:21]([OH:22])[C@H:23]([N:24]2[C:25]3=[C:30]([C:29]([NH2:33])=[N:28][CH:27]=[N:26]3)/[N:31]=[CH:32]\2)[O:34]1)[CH2:15][CH2:35][C@@H:36]([C:37]([O-:38])=[O:39])[NH3+:40].[C:3]([O-:2])(=[O:4])[CH2:5]/[C:6]1=[CH:10]\[NH:9][C:8]2=[C:7]1[CH:14]=[CH:13][CH:12]=[CH:11]2>>[CH3:1][O:2][C:3](=[O:4])[CH2:5][C:6]1=[CH:10][NH:9][C:8]2=[CH:11][CH:12]=[CH:13][CH:14]=[C:7]12.[CH2:15]([S:16][CH2:17][C@@H:18]1[C@@H:19]([OH:20])[C@@H:21]([OH:22])[C@H:23]([N:24]2[C:25]3=[C:30]([C:29]([NH2:33])=[N:28][CH:27]=[N:26]3)/[N:31]=[CH:32]\2)[O:34]1)[CH2:35][C@@H:36]([C:37]([O-:38])=[O:39])[NH3+:40]
RXN-14081,PWY-7188,[CH:20]1=[C:43]([C:59](=[O:21])[CH2:2][C:8](=[O:42])[C:9]2=[C:29]([OH:64])[CH:35]=[C:34]([O-:32])[C:46]([C@H:47]3[C@H:48]([OH:57])[C@@H:49]([OH:56])[C@H:50]([OH:55])[C@@H:51]([CH2:52][OH:53])[O:54]3)=[C:11]2[OH:10])[CH:44]=[C:5]([OH:6])[C:3]([OH:1])=[CH:19]1>>[OH2:1].[CH:2]1=[C:8](/[C:9]2=[CH:29]\[C:28](=[O:30])[C:27]3=[C:11]([O:10]2)[CH:12]=[C:13]([O-:32])[C:14]([C@H:15]2[C@H:16]([OH:25])[C@@H:17]([OH:24])[C@H:18]([OH:23])[C@@H:19]([CH2:20][OH:21])[O:22]2)=[C:26]3[OH:31])[CH:7]=[C:5]([OH:6])[C:4]([OH:33])=[CH:3]1.[CH:34]1=[C:40](/[C:41]2=[CH:61]\[C:60](=[O:62])[C:59]3=[C:43]([O:42]2)[CH:44]=[C:45]([O-:64])[C:46]([C@H:47]2[C@H:48]([OH:57])[C@@H:49]([OH:56])[C@H:50]([OH:55])[C@@H:51]([CH2:52][OH:53])[O:54]2)=[C:58]3[OH:63])[CH:39]=[C:37]([OH:38])[C:36]([OH:65])=[CH:35]1.[OH2:66]
RXN-9714,PWY-6024,[CH:25]1=[C:19]([C:18]2=[CH:26][C:27](=[O:28])[C:15]3=[C:13]([OH:2])[C:12]([C@@H:30]4[O:31][C@H:32]([CH2:34][OH:33])[C@@H:39]([OH:40])[C@H:37]([OH:38])[C@H:35]4[OH:36])=[C:29]([O-:23])[CH:1]=[C:16]3[O:17]2)[CH:20]=[CH:21][C:22]([OH:14])=[CH:24]1.[CH2:3]1[O:4][C@H:5]([O:42][P:43](=[O:44])([O-:45])[O:46][P:47](=[O:48])([O-:49])[O:50][CH2:41][C@H:51]2[O:52][C@@H:53]([N:58]3[CH:59]=[CH:60][C:61](=[O:62])[NH:63][C:64]3=[O:65])[C@H:54]([OH:55])[C@@H:56]2[OH:57])[C@H:6]([OH:7])[C@@H:8]([OH:9])[C@@H:10]1[OH:11]>>[CH2:1]([OH:2])[C@H:3]1[O:4][C@@H:5]([C:12]2=[C:30]([O:31][C@@H:32]3[O:33][CH2:34][C@@H:35]([OH:36])[C@H:37]([OH:38])[C@H:39]3[OH:40])[CH:29]=[C:16]3[C:15](=[C:13]2[OH:14])[C:27](=[O:28])[CH:26]=[C:18]([C:19]2=[CH:25][CH:24]=[C:22]([OH:23])[CH:21]=[CH:20]2)[O:17]3)[C@H:6]([OH:7])[C@@H:8]([OH:9])[C@@H:10]1[OH:11].[CH2:41]([O:42][P:43](=[O:44])([O-:45])[O:46][P:47](=[O:48])([O-:49])[O-:50])[C@H:51]1[O:52][C@@H:53]([N:58]2[CH:59]=[CH:60][C:61](=[O:62])[NH:63][C:64]2=[O:65])[C@H:54]([OH:55])[C@@H:56]1[OH:57]
RXN-4512,PWY-2762,[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][C:6]1=[CH:7]/[C:8]2=[C:21](\[CH:22]=[C:13]/1[OH:25])[O:20][CH2:19][C@:17]1([OH:18])[C@H:9]2[O:10][C:11]2=[CH:12][C:23]([OH:24])=[CH:14][CH:15]=[C:16]12.O=[O:26]>>[CH3:1][C:2]1([CH3:3])/[CH:4]=[CH:5]\[C:6]2=[C:23](/[CH:22]=[C:21]3[C:8](=[CH:7]\2)\[C@@H:9]2[O:10][C:11]4=[C:16]([CH:15]=[CH:14][C:13]([OH:25])=[CH:12]4)[C@:17]2([OH:18])[CH2:19][O:20]\3)[O:24]1.[OH2:26]
RXN-9640,PWY-5990,[CH3:1][CH2:2][C@H:3]([CH3:4])/[CH:5]=[N:6]/[OH:7]>>[CH3:1][CH2:2][C@H:3]([CH3:4])/[CH:5]=[N:6]\[OH:7]
RXN-4704,PWY-2861,[CH2:17]([O:26][C:38](=[O:40])[CH2:34][C:35](=[O:37])[O-:36])[C@H:16]1[O:15][C@@H:18]([O:19][C:7]2=[CH:30]/[C:28]3=[C:10](\[C:11]([OH:12])=[CH:13]/2)[C:8](=[O:9])[C:14]([C:6]2=[CH:31][CH:32]=[C:3]([O:2][CH3:1])[CH:4]=[CH:5]2)=[CH:27][O:29]3)[C@H:20]([OH:21])[C@@H:24]([OH:39])[C@@H:22]1[OH:23].[OH2:25]>>[CH3:1][O:2][C:3]1=[CH:32][CH:31]=[C:6](/[C:7]2=[CH:30]/[O:29][C:28]3=[C:10]([C:8]2=[O:9])[C:11]([OH:12])=[CH:13][C:14]([O:15][C@H:16]2[C@H:17]([OH:26])[C@@H:18]([OH:19])[C@H:20]([OH:21])[C@@H:22]([CH2:24][OH:25])[O:23]2)=[CH:27]3)[CH:5]=[CH:4]1.[H+:33].[CH2:34]([C:35]([O-:36])=[O:37])[C:38]([O-:39])=[O:40]
RXN-7947,PWY-5174,[CH3:1][C:2](/[CH:3]=[CH:4]/[CH:5]=[C:6]([CH3:7])/[CH:8]=[CH:9]/[C:10]1=[C:17]([CH3:18])[CH2:16][C@@H:15]([OH:19])[CH2:14][C:11]1([CH3:12])[CH3:13])=[CH:20]\[CH:21]=[CH:22]\[CH:23]=[C:24]([CH3:25])\[CH:26]=[CH:27]\[CH:28]=[C:29]([CH3:30])\[CH:31]=[CH:32]\[C@@:33]12[C:36]([CH3:37])([CH3:38])[CH2:39][C@H:40]([OH:41])[CH2:42][C@@:34]1([CH3:35])[O:43]2>>[CH3:1][C:2](/[CH:3]=[CH:4]/[CH:5]=[C:6]([CH3:7])/[CH:8]=[CH:9]/[C:10]1=[C:17]([CH3:18])[CH2:16][C@@H:15]([OH:19])[CH2:14][C:11]1([CH3:12])[CH3:13])=[CH:20]\[CH:21]=[CH:22]\[CH:23]=[C:24]([CH3:25])\[CH:26]=[CH:27]\[CH:28]=[C:29]([CH3:30])\[CH:31]=[CH:32]\[C:33]([C@@:34]1([CH3:35])[C:36]([CH3:37])([CH3:38])[CH2:39][C@H:40]([OH:41])[CH2:42]1)=[O:43]
RXN-14008,PWY-5320,[CH:2]1=[C:38](/[C:37]2=[C:13](/[O:14][C@@H:15]3[O:16][C@H:17]([CH2:24][O:25][C@@H:26]4[O:31][C@H:30]([CH2:32][OH:33])[C@@H:29]([OH:34])[C@H:28]([OH:35])[C@H:39]4[OH:36])[C@@H:18]([OH:23])[C@H:19]([OH:22])[C@H:20]3[OH:21])[C:11](=[O:12])[C:10]3=[C:9]([O:45]2)[CH:8]=[C:7]([OH:63])[CH:47]=[C:46]3[OH:48])[CH:44]=[CH:43][C:41]([OH:42])=[CH:40]1.[CH3:27][C@@H:3]1[O:4][C@H:5]([O:6][P:57]([O:60][P:61](=[O:62])([O-:64])[O:56][CH2:55][C@H:65]2[O:66][C@@H:67]([N:72]3[CH:73]=[CH:74][C:75](=[O:76])[NH:77][C:78]3=[O:79])[C@H:68]([OH:69])[C@@H:70]2[OH:71])([O-:59])=[O:58])[C@H:49]([OH:54])[C@H:50]([OH:53])[C@H:51]1[OH:52]>>[H+:1].[CH3:2][C@@H:3]1[O:4][C@@H:5]([O:6][C:7]2=[CH:47][C:46]([OH:48])=[C:10]3[C:9](=[CH:8]2)[O:45][C:37]([C:38]2=[CH:44][CH:43]=[C:41]([OH:42])[CH:40]=[CH:39]2)=[C:13]([O:14][C@@H:15]2[O:16][C@H:17]([CH2:24][O:25][C@H:26]4[C@H:27]([OH:36])[C@@H:28]([OH:35])[C@H:29]([OH:34])[C@@H:30]([CH2:32][OH:33])[O:31]4)[C@@H:18]([OH:23])[C@H:19]([OH:22])[C@H:20]2[OH:21])[C:11]3=[O:12])[C@H:49]([OH:54])[C@H:50]([OH:53])[C@H:51]1[OH:52].[CH2:55]([O:56][P:57](=[O:58])([O-:59])[O:60][P:61](=[O:62])([O-:63])[O-:64])[C@H:65]1[O:66][C@@H:67]([N:72]2[CH:73]=[CH:74][C:75](=[O:76])[NH:77][C:78]2=[O:79])[C@H:68]([OH:69])[C@@H:70]1[OH:71]
RXN-7820,PWY-5135,[CH:30]1=[CH:31][C:32]([OH:33])=[CH:34][CH:35]=[C:29]1/[CH:28]=[CH:27]/[C:26]([C:17]1=[C:24]([OH:25])[CH:23]=[C:21]([OH:22])[CH:20]=[C:18]1[OH:19])=[O:36].[CH3:12][C:13]([CH3:14])=[CH:15][CH2:16][O:4][P:2](=[O:1])([O-:3])[O:40][P:5](=[O:8])([O-:42])[O-:45]>>[O:1]=[P:2]([OH:3])([O:4][P:5]([O-:6])([O-:7])=[O:8])[O-:9].[H+:10].[H+:11].[CH3:12][C:13]([CH3:14])=[CH:15][CH2:16][C:17]1=[C:24]([OH:25])[C:23]([C:26](/[CH:27]=[CH:28]/[C:29]2=[CH:35][CH:34]=[C:32]([OH:33])[CH:31]=[CH:30]2)=[O:36])=[C:21]([OH:22])[CH:20]=[C:18]1[O-:19].[O:37]=[P:38]([OH:39])([O:40][P:41]([O-:42])([O-:43])=[O:44])[O-:45]
RXN-4762,PWY-2904,[CH3:1][O:2][C:3]1=[CH:37][CH:36]=[C:6](/[C:7]2=[CH:13]/[O:12][C:11]3=[C:10]([C:8]2=[O:9])[CH:35]=[CH:34][C:15]([O:16][C@H:17]2[C@H:18]([OH:19])[C@@H:20]([OH:33])[C@H:21]([OH:22])[C@@H:23]([CH2:25][OH:26])[O:24]2)=[CH:14]3)[CH:5]=[CH:4]1.[CH3:38][C:39]([CH3:40])([C@@H:41]([OH:42])[C:43](=[O:44])[NH:45][CH2:46][CH2:47][C:48](=[O:49])[NH:50][CH2:51][CH2:52][S:53][C:27](=[O:32])[CH2:28][C:29](=[O:31])[O-:30])[CH2:54][O:55][P:56](=[O:57])([O:58][P:59](=[O:60])([O:61][CH2:62][C@@H:63]1[C@@H:67]([O:68][P:69]([O-:70])(=[O:71])[O-:72])[C@@H:66]([OH:73])[C@H:65]([N:74]2[C:75]3=[C:80]([C:79]([NH2:83])=[N:78][CH:77]=[N:76]3)/[N:81]=[CH:82]\2)[O:64]1)[O-:84])[O-:85]>>[CH3:1][O:2][C:3]1=[CH:37][CH:36]=[C:6]([C:7]2=[CH:13][O:12][C:11]3=[CH:14][C:15]([O:16][C@H:17]4[C@H:18]([OH:19])[C@@H:20]([OH:33])[C@H:21]([OH:22])[C@@H:23]([CH2:25][O:26][C:27]([CH2:28][C:29]([O-:30])=[O:31])=[O:32])[O:24]4)=[CH:34][CH:35]=[C:10]3[C:8]2=[O:9])[CH:5]=[CH:4]1.[CH3:38][C:39]([CH3:40])([C@@H:41]([OH:42])[C:43](=[O:44])[NH:45][CH2:46][CH2:47][C:48](=[O:49])[NH:50][CH2:51][CH2:52][SH:53])[CH2:54][O:55][P:56](=[O:57])([O:58][P:59](=[O:60])([O:61][CH2:62][C@H:63]1[O:64][C@@H:65]([N:74]2[C:75]3=[C:80]([C:79]([NH2:83])=[N:78][CH:77]=[N:76]3)/[N:81]=[CH:82]\2)[C@H:66]([OH:73])[C@@H:67]1[O:68][P:69]([O-:70])(=[O:71])[O-:72])[O-:84])[O-:85]
RXN-9812,PWY-6066,[CH:1]1=[N:9]/[C:8]2=[C:4](\[C:3]([NH2:60])=[N:2]/1)[N:5]=[CH:6][N:7]2[C@@H:10]1[O:11][C@H:12]([CH2:21][O:22][P:23](=[O:24])([O:25][P:26](=[O:27])([O:28][CH2:29][C:30]([CH3:31])([CH3:32])[C@@H:33]([OH:34])[C:35](=[O:36])[NH:37][CH2:38][CH2:39][C:40](=[O:41])[NH:42][CH2:43][CH2:44][S:45][C:46](=[O:47])[CH2:48][C:105](=[O:63])[CH2:106][C:49]2=[CH:53][NH:52][C:51]3=[CH:54][CH:55]=[CH:56][CH:57]=[C:50]23)[OH:58])[OH:59])[C@@H:13]([O:14][P:15]([OH:16])(=[O:17])[OH:18])[C@H:19]1[OH:20].[CH3:79][C:77]([CH3:78])([C@@H:75]([OH:76])[C:73](=[O:74])[NH:72][CH2:71][CH2:70][C:68](=[O:69])[NH:67][CH2:66][CH2:65][SH:64])[CH2:80][O:81][P:82](=[O:83])([O:84][P:85](=[O:86])([O:87][CH2:88][C@H:89]1[O:99][C@@H:98]([N:102]2[C:103]3=[C:62]([C:108]([NH2:107])=[N:109][CH:61]=[N:104]3)/[N:100]=[CH:101]\2)[C@H:96]([OH:97])[C@@H:90]1[O:91][P:92]([O-:93])(=[O:94])[O-:95])[O-:110])[O-:111]>>[CH:1]1=[N:9]/[C:8]2=[C:4](\[C:3]([NH2:60])=[N:2]/1)[N:5]=[CH:6][N:7]2[C@@H:10]1[O:11][C@H:12]([CH2:21][O:22][P:23](=[O:24])([O:25][P:26](=[O:27])([O:28][CH2:29][C:30]([CH3:31])([CH3:32])[C@@H:33]([OH:34])[C:35](=[O:36])[NH:37][CH2:38][CH2:39][C:40](=[O:41])[NH:42][CH2:43][CH2:44][S:45][C:46](=[O:47])[CH2:48][CH:49]2[CH:50]3[CH:51]([NH:52][CH2:53]2)[CH2:54][CH2:55][CH2:56][CH2:57]3)[OH:58])[OH:59])[C@@H:13]([O:14][P:15]([OH:16])(=[O:17])[OH:18])[C@H:19]1[OH:20].[CH3:61][C:62](=[O:63])[S:64][CH2:65][CH2:66][NH:67][C:68](=[O:69])[CH2:70][CH2:71][NH:72][C:73](=[O:74])[C@H:75]([OH:76])[C:77]([CH3:78])([CH3:79])[CH2:80][O:81][P:82](=[O:83])([O:84][P:85](=[O:86])([O:87][CH2:88][C@@H:89]1[C@@H:90]([O:91][P:92]([O-:93])(=[O:94])[O-:95])[C@@H:96]([OH:97])[C@H:98]([N:100]2[C:101]3=[C:106]([C:105]([NH2:109])=[N:104][CH:103]=[N:102]3)/[N:107]=[CH:108]\2)[O:99]1)[O-:110])[O-:111]
RXN-8526,PWY-5414,[CH3:1][CH:2](/[C:3]1=[CH:20]/[C:19]2=[C:6]([CH2:5][CH2:4]1)[C@:7]1([CH3:21])[CH:8]([C@@:9]([CH:13]=[O:14])([CH3:16])[CH2:10][CH2:11][CH2:12]1)[CH2:17][CH2:18]2)[CH3:22].[CH:23]1=[CH:24][CH2:25][C:26]([C:27](=[O:28])[NH2:29])=[CH:30][N:31]1[C@@H:32]1[O:33][C@H:34]([CH2:39][O:40][P:41]([O:42][P:43]([O:44][CH2:45][C@@H:46]2[C@@H:47]([OH:66])[C@@H:48]([O:61][P:62]([O-:63])([O-:15])=[O:65])[C@H:49]([N:50]3[C:51]4=[C:56]([C:55]([NH2:59])=[N:54][CH:53]=[N:52]4)/[N:57]=[CH:58]\3)[O:60]2)([O-:67])=[O:68])(=[O:69])[O-:70])[C@@H:35]([OH:38])[C@H:36]1[OH:37].[O:64]=[O:71]>>[CH3:1][CH:2](/[C:3]1=[CH:20]/[C:19]2=[C:6]([CH2:5][CH2:4]1)[C@:7]1([CH3:21])[CH:8]([C@@:9]([C:13](=[O:14])[O-:15])([CH3:16])[CH2:10][CH2:11][CH2:12]1)[CH2:17][CH2:18]2)[CH3:22].[CH:23]1=[N+:31]([C@@H:32]2[O:33][C@H:34]([CH2:39][O:40][P:41]([O:42][P:43]([O:44][CH2:45][C@@H:46]3[C@@H:47]([OH:66])[C@@H:48]([O:61][P:62]([O-:63])([O-:64])=[O:65])[C@H:49]([N:50]4[C:51]5=[C:56]([C:55]([NH2:59])=[N:54][CH:53]=[N:52]5)/[N:57]=[CH:58]\4)[O:60]3)([O-:67])=[O:68])(=[O:69])[O-:70])[C@@H:35]([OH:38])[C@H:36]2[OH:37])[CH:30]=[C:26]([C:27](=[O:28])[NH2:29])[CH:25]=[CH:24]1.[OH2:71]
RXN18C3-45,PWY18C3-16,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][C:12]([O:13][C@H:14]1[C@H:15]([OH:50])[C@@H:16]([CH2:17][OH:18])[O:19][C@:20]1([O:21][C@H:22]1[O:23][C@H:24]([CH2:25][OH:26])[C@@H:27]([O:28][C:29](=[O:30])[CH2:31][CH:32]([CH3:33])[CH3:34])[C@H:35]([O:36][C:37](=[O:38])[CH:39]([CH3:40])[CH2:41][CH3:42])[C@H:43]1[OH:44])[CH2:48][OH:49])=[O:51].[CH3:47][C:45](=[O:46])[S:67][CH2:66][CH2:65][NH:64][C:62](=[O:63])[CH2:61][CH2:60][NH:59][C:57](=[O:58])[C@H:55]([OH:56])[C:53]([CH3:52])([CH3:54])[CH2:68][O:69][P:70](=[O:71])([O:72][P:73](=[O:74])([O:75][CH2:76][C@@H:77]1[C@@H:81]([O:82][P:83]([O-:84])(=[O:85])[O-:86])[C@@H:80]([OH:87])[C@H:79]([N:88]2[C:89]3=[C:94]([C:93]([NH2:97])=[N:92][CH:91]=[N:90]3)/[N:95]=[CH:96]\2)[O:78]1)[O-:98])[O-:99]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][C:12]([O:13][C@H:14]1[C@H:15]([OH:50])[C@@H:16]([CH2:17][OH:18])[O:19][C@:20]1([O:21][C@H:22]1[O:23][C@H:24]([CH2:25][OH:26])[C@@H:27]([O:28][C:29](=[O:30])[CH2:31][CH:32]([CH3:33])[CH3:34])[C@H:35]([O:36][C:37](=[O:38])[CH:39]([CH3:40])[CH2:41][CH3:42])[C@H:43]1[O:44][C:45](=[O:46])[CH3:47])[CH2:48][OH:49])=[O:51].[CH3:52][C:53]([CH3:54])([C@@H:55]([OH:56])[C:57](=[O:58])[NH:59][CH2:60][CH2:61][C:62](=[O:63])[NH:64][CH2:65][CH2:66][SH:67])[CH2:68][O:69][P:70](=[O:71])([O:72][P:73](=[O:74])([O:75][CH2:76][C@H:77]1[O:78][C@@H:79]([N:88]2[C:89]3=[C:94]([C:93]([NH2:97])=[N:92][CH:91]=[N:90]3)/[N:95]=[CH:96]\2)[C@H:80]([OH:87])[C@@H:81]1[O:82][P:83]([O-:84])(=[O:85])[O-:86])[O-:98])[O-:99]
RXN-15379,PWY-7478,[CH2:1]=[CH:2][C@:3]1([CH3:21])[CH2:4][CH2:5][C@H:6]2[C@:7]3([CH3:20])[CH2:8][CH2:9][CH2:10][C:12]([CH3:13])([CH3:19])[C@H:14]3[CH2:15][CH2:16]/[C:17]2=[CH:18]\1.[O:11]=[O:22]>>[CH2:1]=[CH:2][C@:3]1([CH3:21])[CH2:4][CH2:5][C@H:6]2[C@:7]3([CH3:20])[CH2:8][CH2:9][C@@H:10]([OH:11])[C:12]([CH3:13])([CH3:19])[C@H:14]3[CH2:15][CH2:16]/[C:17]2=[CH:18]\1.[OH2:22]
TROPINONE-REDUCTASE-RXN,PWY-5318,[CH:2]1=[N+:3]([C@@H:4]2[O:5][C@H:6]([CH2:11][O:12][P:13]([O:14][P:15]([O:16][CH2:17][C@@H:18]3[C@@H:19]([OH:38])[C@@H:20]([O:33][P:34]([O-:35])([O-:36])=[O:37])[C@H:21]([N:22]4[C:23]5=[C:28]([C:27]([NH2:31])=[N:26][CH:25]=[N:24]5)/[N:29]=[CH:30]\4)[O:32]3)([O-:39])=[O:40])(=[O:41])[O-:42])[C@@H:7]([OH:10])[C@H:8]2[OH:9])[CH:43]=[C:44]([C:47](=[O:48])[NH2:49])[CH:45]=[CH:46]1.[CH3:50][NH+:51]1[C@H:55]2[CH2:56][C@H:57]([OH:58])[CH2:59][C@H:52]1[CH2:53][CH2:54]2>>[H+:1].[CH:2]1=[CH:46][CH2:45][C:44]([C:47](=[O:48])[NH2:49])=[CH:43][N:3]1[C@@H:4]1[O:5][C@H:6]([CH2:11][O:12][P:13]([O:14][P:15]([O:16][CH2:17][C@@H:18]2[C@@H:19]([OH:38])[C@@H:20]([O:33][P:34]([O-:35])([O-:36])=[O:37])[C@H:21]([N:22]3[C:23]4=[C:28]([C:27]([NH2:31])=[N:26][CH:25]=[N:24]4)/[N:29]=[CH:30]\3)[O:32]2)([O-:39])=[O:40])(=[O:41])[O-:42])[C@@H:7]([OH:10])[C@H:8]1[OH:9].[CH3:50][NH+:51]1[C@@H:52]2[CH2:53][CH2:54][C@@H:55]1[CH2:56][C:57](=[O:58])[CH2:59]2
RXN-4802,PWY-2921,[CH2:1]=[C:2]([C@H:3]1[CH2:4][C@:5]2([CH3:15])[C@H:6]([CH3:14])[CH2:7][CH2:8][CH2:9]/[C:10]2=[CH:11]\[CH2:12]1)[CH3:16].[O:13]=[O:17]>>[CH2:1]=[C:2]([C@H:3]1[CH2:4][C@:5]2([CH3:15])[C@H:6]([CH3:14])[C@H:7]([OH:13])[CH2:8][CH2:9]/[C:10]2=[CH:11]\[CH2:12]1)[CH3:16].[OH2:17]
RXN-1541,PWY-2083,[CH:1]1=[C:6]([C@H:7]2[O:11][C:9]3=[CH:18][C:17]([OH:19])=[CH:8][C:14]([OH:20])=[C:10]3[C:15](=[O:16])[CH2:12]2)[CH:5]=[CH:4][C:3]([OH:21])=[CH:2]1.[O:22]=[O:13]>>[CH:1]1=[C:6]([CH:7]2[C:8](=[O:20])[C:9]3=[C:18]([OH:19])[CH:17]=[C:15]([OH:16])[CH:14]=[C:10]3[O:11][CH:12]2[OH:13])[CH:5]=[CH:4][C:3]([OH:21])=[CH:2]1.[OH2:22]
RXN-15980,PWY-5397,[CH3:1][C:2](/[CH:3]=[CH:4]/[CH:5]=[C:6]([CH3:7])/[CH:8]=[CH:33]/[C:32]1=[C:24]([CH3:23])[CH2:25][C@@H:26]([OH:27])[CH2:28][C:29]1([CH3:30])[CH3:31])=[CH:10]\[CH:11]=[CH:12]\[CH:13]=[C:14]([CH3:15])\[CH:16]=[CH:17]\[CH:18]=[C:19](/[CH3:20])[CH:21]=[O:22].[O:9]=[O:34]>>[CH3:1][C:2](/[CH:3]=[CH:4]/[CH:5]=[C:6](\[CH3:7])[CH:8]=[O:9])=[CH:10]\[CH:11]=[CH:12]\[CH:13]=[C:14]([CH3:15])\[CH:16]=[CH:17]\[CH:18]=[C:19](/[CH3:20])[CH:21]=[O:22].[CH3:23][C:24]1=[C:32]([CH:33]=[O:34])[C:29]([CH3:30])([CH3:31])[CH2:28][C@H:26]([OH:27])[CH2:25]1
RXNQT-4337,PWYQT-4474,[CH3:1][S:2][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]/[C:11]([S:12][C@@H:13]1[O:14][C@H:15]([CH2:16][OH:17])[C@@H:18]([OH:19])[C@H:20]([OH:21])[C@H:22]1[OH:23])=[N:24]\[O:25][S:26](=[O:27])(=[O:28])[O-:29].[O:30]=[O:3].[CH:31]1=[CH:32][CH2:33][C:34]([C:35](=[O:36])[NH2:37])=[CH:38][N:39]1[C@@H:40]1[O:41][C@H:42]([CH2:47][O:48][P:49]([O:50][P:51]([O:52][CH2:53][C@@H:54]2[C@@H:55]([OH:74])[C@@H:56]([O:69][P:70]([O-:71])([O-:72])=[O:73])[C@H:57]([N:58]3[C:59]4=[C:64]([C:63]([NH2:67])=[N:62][CH:61]=[N:60]4)/[N:65]=[CH:66]\3)[O:68]2)([O-:75])=[O:76])(=[O:77])[O-:78])[C@@H:43]([OH:46])[C@H:44]1[OH:45].[H+]>>[CH3:1][S:2](=[O:3])[CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]/[C:11]([S:12][C@@H:13]1[O:14][C@H:15]([CH2:16][OH:17])[C@@H:18]([OH:19])[C@H:20]([OH:21])[C@H:22]1[OH:23])=[N:24]\[O:25][S:26](=[O:27])(=[O:28])[O-:29].[OH2:30].[CH:31]1=[N+:39]([C@@H:40]2[O:41][C@H:42]([CH2:47][O:48][P:49]([O:50][P:51]([O:52][CH2:53][C@@H:54]3[C@@H:55]([OH:74])[C@@H:56]([O:69][P:70]([O-:71])([O-:72])=[O:73])[C@H:57]([N:58]4[C:59]5=[C:64]([C:63]([NH2:67])=[N:62][CH:61]=[N:60]5)/[N:65]=[CH:66]\4)[O:68]3)([O-:75])=[O:76])(=[O:77])[O-:78])[C@@H:43]([OH:46])[C@H:44]2[OH:45])[CH:38]=[C:34]([C:35](=[O:36])[NH2:37])[CH:33]=[CH:32]1
RXN-13474,PWY-7058,[CH3:13][S+:16]([CH2:17][C@@H:18]1[C@@H:19]([OH:20])[C@@H:21]([OH:22])[C@H:23]([N:24]2[C:25]3=[C:30]([C:29]([NH2:33])=[N:28][CH:27]=[N:26]3)/[N:31]=[CH:32]\2)[O:34]1)[CH2:15][CH2:35][C@@H:36]([C:37]([O-:38])=[O:39])[NH3+:40].[CH:11]1=[CH:10]/[C:1](=[O:14])[O:2][C:9]2=[C:3]/1[CH:4]=[C:5]([OH:12])[C:6]([OH:7])=[CH:8]2>>[C:1]1(=[O:14])[O:2][C:3]2=[C:9]([CH:8]=[C:6]([OH:7])[C:5]([O:12][CH3:13])=[CH:4]2)/[CH:10]=[CH:11]\1.[CH2:15]([S:16][CH2:17][C@@H:18]1[C@@H:19]([OH:20])[C@@H:21]([OH:22])[C@H:23]([N:24]2[C:25]3=[C:30]([C:29]([NH2:33])=[N:28][CH:27]=[N:26]3)/[N:31]=[CH:32]\2)[O:34]1)[CH2:35][C@@H:36]([C:37]([O-:38])=[O:39])[NH3+:40].[H+:41]
RXN-9119,PWY-5809,[CH3:1][C:2]1=[C:20]([OH:21])\[C:19]2=[C:5]([C:4](/[OH:26])=[CH:3]/1)\[C:6](=[O:7])[C:8]1=[C:16]([C:15]([O:10][CH3:23])=[C:12]([O:13][CH3:14])[C:11]([O:24][CH3:25])=[CH:9]1)[C:17]2=[O:18]>>[CH3:1][C:2]1=[C:20]([OH:21])\[C:19]2=[C:5]([C:4](/[OH:26])=[CH:3]/1)\[C:6](=[O:7])[C:8]1=[C:16]([C:15]([O:22][CH3:23])=[C:12]([O:13][CH3:14])[C:11]([O:24][CH3:25])=[C:9]1[OH:10])[C:17]2=[O:18]
RXN-2223,PWY-1187,[CH3:24][S:25](=[O:28])[CH2:1][CH2:3][CH2:4]/[C:5]([S:6][C@@H:7]1[O:8][C@H:9]([CH2:10][OH:11])[C@@H:12]([OH:13])[C@H:14]([OH:15])[C@H:16]1[OH:17])=[N:18]\[O:19][S:20](=[O:21])(=[O:22])[O-:23].[O:27]=[O:2].[OH2:26]>>[CH2:1]([OH:2])[CH2:3][CH2:4]/[C:5]([S:6][C@@H:7]1[O:8][C@H:9]([CH2:10][OH:11])[C@@H:12]([OH:13])[C@H:14]([OH:15])[C@H:16]1[OH:17])=[N:18]\[O:19][S:20](=[O:21])(=[O:22])[O-:23].[CH3:24][S:25](=[O:26])(=[O:27])[O-:28].[H+:29]
